tipologradouro_1,tipologradouro_2,logradouro_1,logradouro_2,bairro_1,bairro_2,municipio_1,municipio_2,rua,bairro
AVENIDA,AVENIDA,PREFEITO DOUTOR MANOEL DE CARVALHO,DR PREF ANTONIO MANOEL DE CARVALHO,MORRO NOVA CINTRA,MORRO NOVA CINTRA,SANTOS,SANTOS,0,1
RUA,,R GRAUNA,GRAUNA,JD DOS PASSAROS,JARDIM DOS PASSAROS,GUARUJA,GUARUJA,1,1
,RUA,PROFESSOR CARVALHO PINTO,MARECHAL FLORIANO PEIXOTO,SITIO PAECARA VICE,PAECARA,GUARUJA,GUARUJA,0,1
,,IPORANGA,IPORANGA,SITIO PAECARA,PAECARA,GUARUJA,GUARUJA,1,1
,,GUAICURUS,R GUAICURUS,VL TUPI,VILATUPI,PRAIA GRANDE,PRAIA GRANDE,1,1
,,MANOEL RODRIGUES DOS REIS,MANOEL RODRIGUES DOS REIS,VILA SONIA,VILA SONIA,PRAIA GRANDE,PRAIA GRANDE,1,1
,,SILVIA DIAS,SILVIA DIAS,VILA SONIA,VL SONIA,PRAIA GRANDE,PRAIA GRANDE,1,1
,AVENIDA,PROFESSOR MOREIRA,PROF MOREIRA,CENTRO,CENTRO,TAUBATE,TAUBATE,1,1
RUA,RUA,MARCONIA,R MARCONIA,JABOTICABEIRAS,JABUTICABEIRAS,TAUBATE,TAUBATE,1,1
,,PROFESSOR ROQUE PASSARELLI,PROFESSOR ROQUE PASSARELLI,JARDIM AMERICA,JARDIM AMERICA,TAUBATE,TAUBATE,1,1
RUA,,JAGUARI,JAGUARI,VILA SINHA,JD TELESPARK,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,1,0
,RUA,RIO DAS COBRAS,RIO DAS COBRAS,ALTOS DA VILA PAIVA,ALTOS DA VILA PAIV,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,1,1
,,RUA SIRLEY DA CONCEICAO GOMES ALVES,R SIRLEI DA CONCEICAO GOMES ALVES,CPO DOS ALEMAES,CAMPOS DOS ALEMAES,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,1,1
RUA,OUTROS,BARRETOS,BARRETOS,JARD INDUSTRIAS,JARDIM DAS INDUSTRI,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,1,1
,,JOSE MATTAR,R JOSE MATTAR,SAO DIMAS,SAO DIMAS,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,1,1
PRACA,,RONALDO DAVOLI,RONALDO DAVOLI,JARDIM DAS FLORES,JDM. DAS FLORES,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,1,1
RUA,RUA,FREI PAULINO SCHIMITZ,FREI PAULINO SHIMTZ,JARDIM MARIANA,MOMBACA,PINDAMONHANGABA,PINDAMONHANGABA,1,0
,,FREDERICA SACILLOTI,MARECHAL TEIXEIRA LOTT,VILA NUNES,VILA NUNES,LORENA,LORENA,0,1
,,RAUL RIOS,RUA RAUL RIOS,VILA HEPACARE,VILA HEPACARE,LORENA,LORENA,1,1
,,R KIOTO,KYOTO,CAETETUBA,CAETETUBA,ATIBAIA,ATIBAIA,1,1
,,R MAJOR SOLON,MAJOR SOLON,CAMBUI,CAMBUI,CAMPINAS,CAMPINAS,1,1
RUA,,R FERNANDO COSTA,R CAPITAO PEDRO DE ALCANTARA,JD PRIMAVERA,VILA LIDIA,CAMPINAS,CAMPINAS,0,0
,,R OSVALDO ANHERT,DR OSWALDO ANHERT,PARQUE CAMPINAS,VL MANOEL FERREIRA,CAMPINAS,CAMPINAS,1,0
,,R ANA BEATRIZ BIERREMBACH,ANA BEATRIZ BIERREMBACH,VILA MIMOSA,VILA MIMOSA,CAMPINAS,CAMPINAS,1,1
RUA,,DOIS,DOIS,CIDADE SINGER,CIDADE SINGER,CAMPINAS,CAMPINAS,1,1
,OUTROS,JOSE PACHECO,LEANDRO GONCALVES,RES SIRIUS,PARQUE VALENCA I,CAMPINAS,CAMPINAS,0,0
OUTROS,RUA,ROSA BALAO,ROSA BALAO,SATELITE IRIS,CIDADE SATELITE IRI,CAMPINAS,CAMPINAS,1,1
,,MARCELO FERREIRA ALBIERIE,MARCELO FERREIRA ALBIERE,,PQ RES VL UNIAO,CAMPINAS,CAMPINAS,1,0
,,ANDORINHA,R ANDORINHA,REC DOS PASSAROS,PE MANOEL NOBREGA,CAMPINAS,CAMPINAS,1,0
,RUA,QUATRO DE OUTUBRO,QUATRO DE OUTUBRO,PQ AMIZADE,PARQUE AMIZADE,SUMARE,SUMARE,1,1
,,R WASHINGTON APARECIDO SANTOS LUZ,R JOSE MARIA PAIVA OSORIO FILHO,NOVA TERRA,PQ BANDEIRANTES,SUMARE,SUMARE,0,0
OUTROS,,DAS CODORNAS,DAS CODORNAS,,JD SANTA AMELIA,HORTOLANDIA,HORTOLANDIA,1,0
,,GERALDO ANTONIO PEREIRA,GERALDO ANTONIO PEREIRA,,QUINTA DAS VIDEIRAS,JUNDIAI,JUNDIAI,1,0
,,DARIO BOCCHINO,DARIO BOCCHINO,JD NOVO HORIZONTE,ALMERINDA CHAVES,JUNDIAI,JUNDIAI,1,0
,RUA,CANDIDO MOJOLA,CANDIDO MOJOLA,HORTOLANDIA,JD BUFALO,JUNDIAI,JUNDIAI,1,0
AVENIDA,AVENIDA,AV VALTER TOZETTO JUNIOR,VALTER TOZETTO JUNIOR,BOSQ DOS JACARANDAS,BOSQUE JACARTANDAS,JUNDIAI,JUNDIAI,1,1
RUA,,OSVALDO FERNANDES CHAGAS,OSVALDO FERNANDES CHAGAS,JARDIM SAO CONRADO,JARDIM SAO CONRADO,CAMPO LIMPO PAULISTA,CAMPO LIMPO PAULISTA,1,1
,RUA,R TACILIO AMA,R TACILIO AMA,PQ TESCAROLLO,ELISA TESCAROLO,ITATIBA,ITATIBA,1,0
,,FRANCISCO ULHANI,RUA FRANCISCO ULHANI,JARDIM MEXICO,JARDIM MEXICO,ITATIBA,ITATIBA,1,1
,,RUA HUMBERTO BISCARDI,RUA HUMBERTO BISCARDI,JARDIM PINHEIROS,JARDIM PINHEIROS,VALINHOS,VALINHOS,1,1
,AVENIDA,AV INDEPENDENCIA,INDEPENDENCIA,VILA OLIVO,,VALINHOS,VALINHOS,1,0
,,GENARO GHEZZI,GENARO GHEZZI,JARDIM SALTENSE,JARDIM SALTENSE,SALTO,SALTO,1,1
,,PEDRO ANTONIO,R PEDRO ANTONIO,JD OLIVEIRA CAMARGO,JD OLIVEIRA CAMARGO,INDAIATUBA,INDAIATUBA,1,1
OUTROS,,JOAO GRANER,JOAO GRANER,ALGODOAL,JARDIM ALGODOAL,PIRACICABA,PIRACICABA,1,1
,,CAPITAO EMIDIO,CAPITAO EMIDIO,SAO DIMAS,SAO DIMAS,PIRACICABA,PIRACICABA,1,1
RUA,RUA,DOMINGOS COLETI,DOMINGOS COLETI,DOIS CORREGOS,CENTRO,PIRACICABA,PIRACICABA,1,0
RUA,RUA,MANAUS,MANAUS,PLANALTO DO SOL,PLANALTO DO SOL,SANTA BARBARA D'OESTE,SANTA BARBARA D'OESTE,1,1
,RUA,R RUI BARBOSA,FORTUNATO FARAONE,CENTRO,JARDIM GIRASSOL,AMERICANA,AMERICANA,0,0
,RUA,R PERU,PERU,FREZZARIN,FREZZARIN,AMERICANA,AMERICANA,1,1
,,R PRESIDENTE JUSCELINO KUBITSCHEK DE O,JUSCELINO KUBITSCHEK DE OLIVEIRA,PARQUE HIPPOLYTO,PQ HIPOLITO,LIMEIRA,LIMEIRA,1,1
RUA,,02 JI,2 JI,JARDIM INOCOOP,JARDIM INOCOOP,RIO CLARO,RIO CLARO,1,1
OUTROS,,IDALINA COLOMBO,R IDALINA COLOMBO,JARDIM CANAA II,JARDIM CANAA II,MOGI-GUACU,MOGI-GUACU,1,1
,,BENJAMIN LOPES,BENJAMIN LOPES,JD SAO MANUEL,JARDIM SAO MANOEL,SAO JOAO DA BOA VISTA,SAO JOAO DA BOA VISTA,1,1
RUA,RUA,PAULO DE FRONTIM,PAULO DE FRONTIM,VILA VIRGINIA,VL VIRGINIA,RIBEIRAO PRETO,RIBEIRAO PRETO,1,1
,,CRUZ E SOUZA,RUA CRUZ E SOUZA,JD. PIRATININGA,JARDIM PIRATININGA,RIBEIRAO PRETO,RIBEIRAO PRETO,1,1
,,CAROLINA MARIA DE JESUS,R CAROLINA MARIA DE JESUS,IPIRANGA,JD PRESIDENTEDUTRA,RIBEIRAO PRETO,RIBEIRAO PRETO,1,0
,,TOCANTINS,RUA TOCANTINS,IPIRANGA,IPIRANGA,RIBEIRAO PRETO,RIBEIRAO PRETO,1,1
,OUTROS,DR WALTER BELIAN,DR WALTER BELIAN,,PQ SAO SEBASTIAO,RIBEIRAO PRETO,RIBEIRAO PRETO,1,0
ALAMEDA,ALAMEDA,DOMINGOS FERNANDES VILLAS BOAS,DOMINGOS FRANCISCO VILLAS BOAS,PARQUE DOS LAGOS,PARQUE DOS LAGOS,RIBEIRAO PRETO,RIBEIRAO PRETO,1,1
,,RUA PEDRO FALCHET,R PEDRO FALCHET,PARAISO 2,PARAISO 2,SERTAOZINHO,SERTAOZINHO,1,1
RUA,,ALVARO ABRANCHES,ALVARO ABRANCHES,CIDADE NOVA,CIDADE NOVA,FRANCA,FRANCA,1,1
,,R OSWALDO BORGES DE FREITAS,OSWALDO BORGES DE FREITAS,JD SAO LUIZ,SAO LUIZ II,FRANCA,FRANCA,1,1
,,MANOEL FRANCISCO DE MELO,MANOEL FRANCISCO DE MELO,VILA SAO SEBASTIAO,VILA SAO SEBASTIAO,FRANCA,FRANCA,1,1
RUA,,ENGENHO OLIVEIRA,R ENGENHEIRO OLIVEIRA PINHEIRO,JD PORTINARI,JD PORTINARI,FRANCA,FRANCA,1,1
,,28,28,CENTRO,CENTRO,BARRETOS,BARRETOS,1,1
,,R JOSE ESPANHOL,JOSE ESPANHOL,PERY,JD PERA,JABOTICABAL,JABOTICABAL,1,0
,RUA,R LAUDELINO L DA SILVA,LAUDELINO LUIZ DA SILVA,ROMANO CALIL,ROMANO CALIL,SAO JOSE DO RIO PRETO,SAO JOSE DO RIO PRETO,1,1
,,R JOAO MANOEL ANDRADE,R JOAO MANOEL DE ANDRADE,VL N S BONFIM,OURO VERDE,SAO JOSE DO RIO PRETO,SAO JOSE DO RIO PRETO,1,0
,RUA,AZEM AZEM,AZEM AZEM,SAO FRANCISCO,JARDIM TANGARA,SAO JOSE DO RIO PRETO,SAO JOSE DO RIO PRETO,1,0
,,JOSE MUNIA,JOSE MUNIA,NOVA REDENTORA,JARDIM VIVENDAS,SAO JOSE DO RIO PRETO,SAO JOSE DO RIO PRETO,1,0
RUA,,ANTONIO EVARISTO CABRERA,ANTONIO EVARISTO CABRERA,JARDIM TARRAF II,JARDIM TARRAF II,SAO JOSE DO RIO PRETO,SAO JOSE DO RIO PRETO,1,1
AVENIDA,AVENIDA,AMADEU BIZELLI,AV AMADEU BIZELLI,CENTRO,CEDNTRO,FERNANDOPOLIS,FERNANDOPOLIS,1,1
,,RUA RIBEIRAO PRETO,RIBEIRAO PRETO,VILA RODRIGUES,VL STO ANTONIO,CATANDUVA,CATANDUVA,1,0
,,PARAPUA,PARAPUA,PARQUE IRACEMA,PARQUE IRACEMA,CATANDUVA,CATANDUVA,1,1
RUA,,SEBASTIAO WEBBER ARANTES,SEBASTIAO WEBER ARANTES,CONJUNTO HABITACION,CLOVIS PICOLOTTO,ARACATUBA,ARACATUBA,1,1
,,DALIA KATSURA DE OLIVEIRA,GENERAL SALGADO,ANTONIO PAGAN,N S APARECIDA,ARACATUBA,ARACATUBA,0,0
RUA,,JAIR NATAL,JAIR NATAL,SANTA LUZIA,SANTA LUZIA,BIRIGUI,BIRIGUI,1,1
,,DUQUE DE CAXIAS,DUQUE DE CAXIAS,CENTRO,CENTRO,LINS,LINS,1,1
,RESIDENCIAL,MANOEL PEREIRA ROLLA,RUA MANOEL PEREIRA ROLLA,VILA NOVA CIDADE UN,CIDADE UNIVERSITARI,BAURU,BAURU,1,1
,,JOSE PEREIRA GUEDES Q 02,JOSE PEREIRA GUEDES Q 07,PQ PAULISTA,PQ JULHO NOBREGA,BAURU,BAURU,1,0
,,GIOCONDO TURINI Q 8,GIOCONDO TURINI,2 OURO VERDE,JARD OURO VERDE,BAURU,BAURU,1,1
RUA,,ALMIRANTE BARROSO,R ALMIRANTE BARROSO,MARIA PAULA,MARIA PAULA,MARILIA,MARILIA,1,1
RUA,,BENEDITA DOS SANTOS COUBE,R BENEDITA DOS SANTOS COUBE,JD LAVINIA II,JARDIM LAVINIA,MARILIA,MARILIA,1,1
RUA,OUTROS,JOSE FROIO,JOSE FROIO,NOVA MARILIA,NUCLEO HABITACIONAL,MARILIA,MARILIA,1,0
,AVENIDA,SAO PAULO,SAO PAULO - DE 1002/1003 A 1630/1631,ARVORE GRANDE,ALEM PONTE,SOROCABA,SOROCABA,1,0
,,ALVARO NUNO PEREIRA,ALVARO NUNO PEREIRA,JD MAGNOLIAS,JD BELMEJO,SOROCABA,SOROCABA,1,0
RUA,RUA,R NORUEGA,NORUEGA,JD EUROPA,JARDIM EUROPA,SOROCABA,SOROCABA,1,1
RUA,,RICARDO MARCOS DE MADUREIRA MOREIRA,RICARDO MARCOS DE MADUREIRA MOREIRA,JD REFUGIO,JARDIM REFUGIO,SOROCABA,SOROCABA,1,1
RUA,,PROFESSOR CARVALHO BRAGA,PROFESSOR CARVALHO BRAGA,VILA DA FONTE,VILA ANGELICA,SOROCABA,SOROCABA,1,0
,JARDIM,AV BETSAIDA,AVENIDA BETSAIDA,JD BETANIA,BETANIA,SOROCABA,SOROCABA,1,1
RUA,RUA,DRA MARIA BERNADETE SENGES PERES ANT,DOUTORA MARIA BERNADETE SENGES PERES A,JD PACAEMBU,JARDIM PACAEMBU,SOROCABA,SOROCABA,1,1
,,AMERICO PIMENTA VAZ GUIMARAES,AMERICO PIMENTA VAZ GUIMARAES,VILA DALMATAS,DALMATAS,SOROCABA,SOROCABA,1,1
RUA,RUA,ELDORADO,ELDORADO,SAO PAULO,VILA SAO PAULO,CAPAO BONITO,CAPAO BONITO,1,1
,,RUA AVARE,AVARE,VL APARECIDA,VILA APARECIDA,ITAPEVA,ITAPEVA,1,1
OUTROS,,ANTONIO LUIZ ROSA,ANTONIO LUIZ ROSA,VILA SANTA MARIA,SANTA MARIA,ITAPEVA,ITAPEVA,1,1
CONDOMINIO,,RODOVIA GASTAO DAL FARRA,GASTAO DAL FARRA,DEMETRIA,JARDIM AEROPORTO,BOTUCATU,BOTUCATU,1,0
,,CH LOTEAMENTO NOVO OESTE-CHACARA BERIJA,OUTROS CHACARA ESPERANCA,CASCATA,ARILENA,PRESIDENTE PRUDENTE,PRESIDENTE PRUDENTE,0,0
RUA,,FAGUNDES VARELLA,FAGUNDES VARELA,VILA LESSA,VILA LESSA,PRESIDENTE PRUDENTE,PRESIDENTE PRUDENTE,1,1
,,R MOSENHOR DAVI,MONSENHOR DAVID,VILA NOVA SANTANA,VILA NOVA SANTANA,ASSIS,ASSIS,1,1
,RUA,FORTUNATO BORNEA,FORTUNATO BORNEA,JD MORUMBI,JARDIM MORUMBI,ASSIS,ASSIS,1,1
,,GERALDO PEREIRA TAVARES,GERALDO PEREIRA TAVARES,JD BRILHANTE,JARDIM BRILHANTE,OURINHOS,OURINHOS,1,1
,RUA,MEXICO,R MEXICO,CENTRO,CENTRO,RIO DE JANEIRO,RIO DE JANEIRO,1,1
,TRAVESSA,OUVIDOR,DO OUVIDOR,CENTRO,CENTRO,RIO DE JANEIRO,RIO DE JANEIRO,1,1
,,SACADURA CABRAL,R SACADURA CABRAL,SAUDE,SAUDE,RIO DE JANEIRO,RIO DE JANEIRO,1,1
,PRACA,PCA AGUIRRE CERDA,PRESIDENTE AGUIRRE CERDA,BAIRRO DE FATIMA,CENTRO,RIO DE JANEIRO,RIO DE JANEIRO,1,0
,,DA HORTA,MOISES BORGES,TIJUCA,TIJUCA,RIO DE JANEIRO,RIO DE JANEIRO,0,1
,OUTROS,ALVES CAMARA,ALVES CAMARA,ALTO DA BOA VISTA,ALTO DA BOA VISTA,RIO DE JANEIRO,RIO DE JANEIRO,1,1
RUA,RUA,TOMAS COELHO,TOMAS COELHO,VILA ISABEL,VILA ISABEL,RIO DE JANEIRO,RIO DE JANEIRO,1,1
OUTROS,,AMBROSINA,AMBROSINA,VILA ISABEL,TIJUCA,RIO DE JANEIRO,RIO DE JANEIRO,1,0
RUA,,MARQUES DE LEAO,MARQUES DE LEAO,ENGENHO NOVO,ENGENHO NOVO,RIO DE JANEIRO,RIO DE JANEIRO,1,1
,,CARMELITA FRANCISCA DA CONCEICAO,CANAL,CAJU,CAJU,RIO DE JANEIRO,RIO DE JANEIRO,0,1
,RUA,CORONEL SAMUEL DA SILVA CALDAS,CORONEL SAMUEL DA SILVA CALDAS,CAJU,CAJU,RIO DE JANEIRO,RIO DE JANEIRO,1,1
,,SAO PAULO,SAO PAULO,SAMPAIO,SAMPAIO,RIO DE JANEIRO,RIO DE JANEIRO,1,1
,,ANA GUIMARAES,ANA GUIMARAES,ROCHA,ROCHA,RIO DE JANEIRO,RIO DE JANEIRO,1,1
,,DOIS,VIA A 2 VL PINHEIRO,MANGUINHOS,MARE,RIO DE JANEIRO,RIO DE JANEIRO,0,0
,,SERETINGA,RUA SERINTIGA,VILA DA PENHA,VILA DA PENHA,RIO DE JANEIRO,RIO DE JANEIRO,1,1
,,RUA ARTUR VARGAS,PROFESSOR ARTUR THIRE,PIEDADE,VILA DA PENHA,RIO DE JANEIRO,RIO DE JANEIRO,0,0
OUTROS,RUA,ITACOATIARA,R ITACOATIARA,IRAJA,IRAJA,RIO DE JANEIRO,RIO DE JANEIRO,1,1
OUTROS,TRAVESSA,LOURIVAL INACIO,LOURIVAL INACIO,JARDIM AMERICA,JARDIM AMERICA,RIO DE JANEIRO,RIO DE JANEIRO,1,1
,AVENIDA,VICENTE DE CARVALHO,VICENTE DE CARVALHO,VAZ LOBO,VAZ LOBO,RIO DE JANEIRO,RIO DE JANEIRO,1,1
,,R MANOEL MURTINHO,MANUEL MURTINHO,QUINTINO BOCAIUVA,QUINTINO BOCAIUVA,RIO DE JANEIRO,RIO DE JANEIRO,1,1
,RUA,R FREI VICENTE,FREI VICENTE,PAVUNA,PAVUNA,RIO DE JANEIRO,RIO DE JANEIRO,1,1
VILA,,FLOR DE LIZ,OLGA CORDEIRO DE ALMEIDA,BANGU,BANGU,RIO DE JANEIRO,RIO DE JANEIRO,0,1
RUA,RUA,PROFESSOR ALVARO RODRIGUES,PROFESSOR ALVARO RODRIGUES,BOTAFOGO,BOTAFOGO,RIO DE JANEIRO,RIO DE JANEIRO,1,1
OUTROS,RUA,JAICE ANDRE,R JAYCE ANDRE,TAQUARA,TAQUARA JACAREPAGUA,RIO DE JANEIRO,RIO DE JANEIRO,1,1
,,BEIRA RIO,BEIRA RIO,CAMPO GRANDE,CAMPO GRANDE,RIO DE JANEIRO,RIO DE JANEIRO,1,1
,,CONSERVATORIA,CONSERVATORIA,CAMPO GRANDE,CAMPO GRANDE,RIO DE JANEIRO,RIO DE JANEIRO,1,1
,,23,ESTIVA,SANTA CRUZ,SEPETIBA,RIO DE JANEIRO,RIO DE JANEIRO,0,0
,,SAO JOSE,SEBASTIAO VIEIRA CARVALHO,MONTE SERRAT,MONTE SERRAT,ITAGUAI,ITAGUAI,0,1
RUA,,IRACEMA DE ALENCAR,IRACEMA DE ALENCAR,ENGENHO,ENGENHO,ITAGUAI,ITAGUAI,1,1
,,SEIS,RUA DOIS,SAPINHATUBA I,SAPINHATUBA I,ANGRA DOS REIS,ANGRA DOS REIS,0,1
,,R ILKA BRASIL BARBOSA,ILKA BRASIL BARBOSA,FONSECA,FONSECA,NITEROI,NITEROI,1,1
,,ETR DA FAZENDINHA R SN,DA FAZENDINHA,BADU PENDOTIBA,BADU,NITEROI,NITEROI,1,1
,RUA,CORONEL AZEVEDO,CORONAL AZEVEDO,ENGENHO PEQUENO,ENGENHO PEQUENO,SAO GONCALO,SAO GONCALO,1,1
,,ALBERTO COUPEY,ALBERTO COUPEY,MUTONDO,MUTONDO,SAO GONCALO,SAO GONCALO,1,1
RUA,,CRISTIANO FIGUEIRAS,JOSE MENDONCA DE CAMPOS,JARDIM CATARINA,COLUBANDE,SAO GONCALO,SAO GONCALO,0,0
,,JERONIMO DE MENDONCA,JERONIMO MENDONCA,VISTA ALEGRE,VISTA ALEGRE,SAO GONCALO,SAO GONCALO,1,1
,,ITAPARICA,ITAPARICA LOTE 38 QUADRA 10,GUAXINDIBA,MONJOLOS,SAO GONCALO,SAO GONCALO,1,0
,,QUINZE DE NOVEMBRO,CARUARU RUA,TRIBOBO,TRINDADE,SAO GONCALO,SAO GONCALO,0,0
,,RUA SEIS,SEIS,ITAMBI,ITAMBI,ITABORAI,ITABORAI,1,1
RUA,,ENTRE RIOS,ENTRE RIOS,VILA LEOPOLDINA,GRAMACHO,DUQUE DE CAXIAS,DUQUE DE CAXIAS,1,0
,,ALM JASSEGUAI,GENERAL ROCA,VL ROSARIO,PANTANAL,DUQUE DE CAXIAS,DUQUE DE CAXIAS,0,0
,,ANDRE TEMUDO,ANDRE TEMUDO,SAO BENTO,SAO BENTO,DUQUE DE CAXIAS,DUQUE DE CAXIAS,1,1
RUA,,VIDAL BARBOSA,VIDAL BARBOSA,CENTRO,CENTRO,DUQUE DE CAXIAS,DUQUE DE CAXIAS,1,1
,,NOSSA SENHORA DAS GRACAS,AV NOSSA SENHORA DAS GRACAS,CENTRO,CENTRO,SAO JOAO DE MERITI,SAO JOAO DE MERITI,1,1
RUA,RUA,DUQUE DE CAXIAS,R DUQUE DE CAXIAS,VILAR DOS TELES,COELHO DA ROCHA,SAO JOAO DE MERITI,SAO JOAO DE MERITI,1,0
,,LIBERO BADARO,LIBERO BADARO,CENTRO,CENTRO,SAO PAULO,SAO PAULO,1,1
AVENIDA,RUA,R AVENIDA NOVE DE JULHO,AVENIDA NOVE DE JULHO,JARDIM PAULISTA,JARDIM PAULISTA,SAO PAULO,SAO PAULO,1,1
,RUA,TATUI,TATUI,JARDIM PAULISTA,CERQUEIRA CESAR,SAO PAULO,SAO PAULO,1,0
,,PRACA DA LIBERDADE,CARLOS GOMES,LIBERDADE,LIBERDADE,SAO PAULO,SAO PAULO,0,1
,,DA INDEPENDENCIA,RUA DA INDEPENDENCIA,CAMBUCI,IPIRANGA,SAO PAULO,SAO PAULO,1,0
,,BASILIO DA CUNHA,BASILIO DA CUNHA,ACLIMACAO,CAMBUCI,SAO PAULO,SAO PAULO,1,0
,RUA,R MARECHAL HERMES DA FONSECA,MARECHAL HERMES DA FONSECA,SANTANA,SANTANA,SAO PAULO,SAO PAULO,1,1
RUA,RUA,DOUTOR ZUQUIM - DE 613 A 1237 - LADO,DOUTOR ZUQUIM,SANTANA,SANTANA,SAO PAULO,SAO PAULO,1,1
,,ABEL MARCIANO DE OLIVEIRA,ABEL MARCIANO DE OLIVEIRA,ABEL MARCIANO DE OL,PARQUE NOVO MUNDO,SAO PAULO,SAO PAULO,1,0
AVENIDA,,DIOGO C DA FONTOURA,RUA PROFESSOR PEREIRA REIS,JACANA GUAPIRA,VILA NOVA GALVAO,SAO PAULO,SAO PAULO,0,0
,,ALBERTINO JOSE DE OLIVEIRA,ALBERTINO JOSE DE OLIVEIRA,JOVA RURAL,CONJUNTO HABITACION,SAO PAULO,SAO PAULO,1,0
RUA,,GEORGE OETTERER,GEORGE OETTERER,VL PAULICEIA,GEORGE OETTERER,SAO PAULO,SAO PAULO,1,0
,,RUA NOVE,RUA NOVE,JD PALMARES,JARDIM PALMARES ZO,SAO PAULO,SAO PAULO,1,0
RUA,RUA,CAXIPO MIRIM,CAXIPO MIRIM,VILA NOVA CACHOEIRI,V N CACHOEIRINHA,SAO PAULO,SAO PAULO,1,0
,,BENTO FERRAZ,DALVO MATTOS DEDECCA,VL PALMEIRA,VL PALMEIRAS,SAO PAULO,SAO PAULO,0,1
,,CAMARATIBA,CAMARATIBA,BRASILANDIA,VILA ITABERABA,SAO PAULO,SAO PAULO,1,0
,,JOAO MEIRA,JOAO MEIRA,JD PARANA,JARDIM PARANA,SAO PAULO,SAO PAULO,1,1
,,RUA ERATOSTENES AZEVEDO,ERATOSTENES AZEVEDO,JARDIM SAO JOSE,JARDIM SAO JOSE ZO,SAO PAULO,SAO PAULO,1,1
,,RUA ANTONIO BIANCHI,ANTONIO BIANCHI,VILA MIRIAM,VILA MIRIAM,SAO PAULO,SAO PAULO,1,1
,,ARICANDUVA,AV TALMA DE OLIVEIRA,VL CARRAO,PENHA,SAO PAULO,SAO PAULO,0,1
,,RUA ANTONIO BITENCOURT,ANTONIO BITENCOURT,V PRUDENTE,VILA PRUDENTE,SAO PAULO,SAO PAULO,1,1
,,DR JOSE HIGINO,AV DR JOSE HIGINO,VL BERTIOGA,ALTO DA MOOCA,SAO PAULO,SAO PAULO,1,0
,RUA,R TERRA ROXA,TERRA ROXA,TATUAPE,TATUAPE,SAO PAULO,SAO PAULO,1,1
,RUA,MOISES MARX,MOISES MARX,VILA ARICANDUVA,ARICANDUVA,SAO PAULO,SAO PAULO,1,1
,RUA,ESPERANCA,DA ESPERANCA,JARDIM ELIANE,JARDIM FERNANDES,SAO PAULO,SAO PAULO,1,0
,,R ESTEFANO FILIPINI,ESTEFANO FILIPINI,CONJ.HABITACIONAL P,CONJUNTO HABITACION,SAO PAULO,SAO PAULO,1,0
,RUA,R ROBERTO CLAUDIO,ROBERTO CLAUDIO,VL RE,VILA RE,SAO PAULO,SAO PAULO,1,1
,RUA,RUA GLICERIO CERQUEIRA LEITE,GLICERIO CERQUEIRA LEITE,JARDIM LISBOA,JD LISBOA,SAO PAULO,SAO PAULO,1,1
,,AGUSTIN PUJOL,AGUSTIN PUJOL,VILA PIERINA,VILA PIERINA,SAO PAULO,SAO PAULO,1,1
RUA,,FRANCISCO RIVA,FRANCISCO RIVA,C H BARREIRA GRAND,CONJUNTO HABITACION,SAO PAULO,SAO PAULO,1,0
,OUTROS,RUA JOSE GABRIEL NUNEZ,JOSE GABRIEL NUNEZ,PARQUE DOS BANCARIO,JOSE GABRIEL NUNEZ,SAO PAULO,SAO PAULO,1,0
RUA,RUA,DAS UVAIAS,DAS UVAIAS,SAUDE,SAUDE,SAO PAULO,SAO PAULO,1,1
,,DIAS DE TOLEDO,R DIAS DE TOLEDO,SAUDE,SAUDE,SAO PAULO,SAO PAULO,1,1
,,RUA ALEXANDRE,R ALEXANDRE,SAO J CLIMACO,SAO JOAO CLIMACO,SAO PAULO,SAO PAULO,1,1
RUA,,FREIRE FARTO,FREIRE FARTO,JABAQUARA,JABAQUARA,SAO PAULO,SAO PAULO,1,1
,,R RODOLFO BARO,R RODOLFO BARO,VILA JOANIZA,VILA MARIRI,SAO PAULO,SAO PAULO,1,0
RUA,,DIONISIO SALOMOS,R DIONISIO SALOMOS,JARDIM MIRIAN,JARDIM MIRIAM,SAO PAULO,SAO PAULO,1,1
,,CLODOMIRO AMAZONAS,RUA CLODOMIRO AMAZONAS,ITAIM BIBI,ITAIM BIBI,SAO PAULO,SAO PAULO,1,1
RUA,OUTROS,HORACIO LAFER,HORACIO LAFER,ITAIM BIBI,ITAIM BIBI,SAO PAULO,SAO PAULO,1,1
RUA,,R IVO REFINE FRASCA,DOUTOR IVO DEFINE FRASCA,ITAIM BIBI,VILA NOVA CONCEICAO,SAO PAULO,SAO PAULO,1,0
,RUA,WILSON RIBEIRO BONFIM,WILSON RIBEIRO BONFIM,VILA INGLESA,VILA INGLESA,SAO PAULO,SAO PAULO,1,1
